Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9982826721621157	[[5806, 2], [8, 7]]	0.5833333333333334	602.0	98.50498338870432	98.50498338870432	14.0	50.0	50.0	0.1	16.0	0.6666666666666666	0.7142857142857143	0.625	10.0	4.0	6.0	15.0	0.6428571428571429	0.6923076923076923	0.6	9.0	4.0	6.0
tested_positive	close_contact	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9926154902970977	[[5771, 13], [30, 9]]	0.29508196721311475	603.0	94.69320066334991	94.69320066334991	30.0	30.0	30.0	0.7	21.0	0.4	0.5	0.3333333333333333	7.0	7.0	14.0	39.0	0.2807017543859649	0.4444444444444444	0.20512820512820512	8.0	10.0	31.0
tested_positive	employer	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9855744461617723	[[5714, 31], [53, 25]]	0.373134328358209	612.0	89.70588235294117	90.32135076252723	66.0	39.39393939393939	45.1010101010101	0.1	37.0	0.34210526315789475	0.3333333333333333	0.35135135135135137	13.0	26.0	24.0	78.0	0.3815789473684211	0.3918918918918919	0.3717948717948718	29.0	45.0	49.0
tested_positive	gender_male	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9847157822428302	[[5648, 49], [40, 86]]	0.6590038314176245	625.0	87.84	89.12685714285715	131.0	66.41221374045801	72.55179934569247	0.6	61.0	0.7067669172932329	0.6527777777777778	0.7704918032786885	47.0	25.0	14.0	126.0	0.66147859922179	0.648854961832061	0.6746031746031746	85.0	46.0	41.0
tested_positive	gender_female	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9946762837025588	[[5768, 8], [23, 24]]	0.6075949367088608	605.0	96.52892561983471	96.82998819362456	41.0	58.53658536585366	62.97909407665506	0.6	31.0	0.6428571428571428	0.72	0.5806451612903226	18.0	7.0	13.0	47.0	0.5897435897435898	0.7419354838709677	0.48936170212765956	23.0	8.0	24.0
tested_positive	name	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9594710630259317	[[5231, 117], [119, 356]]	0.751054852320675	685.0	73.86861313868613	78.38734582530202	496.0	71.9758064516129	78.21639494018527	0.9	282.0	0.7513416815742398	0.7581227436823105	0.7446808510638298	210.0	67.0	72.0	475.0	0.7420417124039518	0.7752293577981652	0.7115789473684211	338.0	98.0	137.0
tested_positive	recent_travel	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.995191482053924	[[5786, 3], [25, 9]]	0.39130434782608703	604.0	96.52317880794702	96.60596026490066	28.0	32.142857142857146	33.92857142857143	0.1	31.0	0.3773584905660377	0.45454545454545453	0.3225806451612903	10.0	12.0	21.0	34.0	0.4074074074074075	0.55	0.3235294117647059	11.0	9.0	23.0
tested_positive	relation	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9981109393783273	[[5803, 7], [4, 9]]	0.6206896551724138	603.0	98.50746268656717	98.50746268656717	11.0	81.81818181818181	81.81818181818181	0.1	2.0	0.5714285714285715	0.4	1.0	2.0	3.0	0.0	13.0	0.5806451612903226	0.5	0.6923076923076923	9.0	9.0	4.0
tested_positive	when	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.99673707710802	[[5796, 14], [5, 8]]	0.4571428571428572	604.0	96.8543046357616	96.90949227373069	14.0	57.142857142857146	59.52380952380952	0.6	11.0	0.4444444444444444	0.375	0.5454545454545454	6.0	10.0	5.0	13.0	0.4571428571428572	0.36363636363636365	0.6153846153846154	8.0	14.0	5.0
tested_positive	where	(14954, {'age': 32, 'close_contact': 75, 'employer': 136, 'gender_male': 244, 'gender_female': 103, 'name': 1006, 'recent_travel': 64, 'relation': 82, 'when': 39, 'where': 301}, {'age': 14922, 'close_contact': 14879, 'employer': 14818, 'gender_male': 14710, 'gender_female': 14851, 'name': 13948, 'recent_travel': 14890, 'relation': 14872, 'when': 14915, 'where': 14653})	(3447, {'age': 16, 'close_contact': 21, 'employer': 37, 'gender_male': 61, 'gender_female': 31, 'name': 282, 'recent_travel': 31, 'relation': 2, 'when': 11, 'where': 91}, {'age': 3431, 'close_contact': 3426, 'employer': 3410, 'gender_male': 3386, 'gender_female': 3416, 'name': 3165, 'recent_travel': 3416, 'relation': 3445, 'when': 3436, 'where': 3356})	(5823, {'age': 15, 'close_contact': 39, 'employer': 78, 'gender_male': 126, 'gender_female': 47, 'name': 475, 'recent_travel': 34, 'relation': 13, 'when': 13, 'where': 151}, {'age': 5808, 'close_contact': 5784, 'employer': 5745, 'gender_male': 5697, 'gender_female': 5776, 'name': 5348, 'recent_travel': 5789, 'relation': 5810, 'when': 5810, 'where': 5672})	MultiTaskBertForCovidEntityClassification	0.9778464708912932	[[5613, 59], [70, 81]]	0.5567010309278351	619.0	83.8449111470113	84.34700105136292	138.0	59.42028985507246	61.67241775937426	0.4	91.0	0.5026178010471205	0.48	0.5274725274725275	48.0	52.0	43.0	151.0	0.5559322033898306	0.5694444444444444	0.543046357615894	82.0	62.0	69.0
